TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_info,SDSS_image,Reporter
2023zcy,10:12:57.263,+39:28:50.28,2023-12-07 14:13:24.960,2023-12-09,20.36,ABMag,w - P1,0.0286586456601654,0.0157407044857067,DG_GALAXY_STARBURST,19.37487917201682,113290.53706349275,"['SDSS_53034_PLATEID_1357_FIBERID_202' '153.23858642578125'
 '39.48063659667969' 'DG_GALAXY_STARBURST' '113290.53706349275'
 '0.028658645660165422' '0.015740704485706733']",Yes,K. C. Chambers
2024art,00:43:01.450,+41:16:17.22,2024-01-23 22:57:59.616,2024-01-25,17.22,ABMag,g - Sloan,7.31821544960533,0.0276741735744802,F_P10 M31 old Cluster,15.009626697305258,780.0,"['P10_B090D' '10.75508' '41.26955' 'F_P10 M31 old Cluster' '780.0'
 '7.31821544960533' '0.02767417357448029']",No,M. Michaud (MCD Observatory) 
2018mmb,12:28:09.510,+44:05:08.02,2018-05-04 06:17:16.800,2024-01-15,19.72,ABMag,r - ZTF,2.638289447322243,0.0390439236418408,DG_QSO_STARBURST,16.762232726238725,3052.5033382098222,"['SDSS_52821_PLATEID_1371_FIBERID_53' '187.03860473632807'
 '44.0855598449707' 'DG_QSO_STARBURST' '3052.5033382098222'
 '2.638289447322243' '0.03904392364184084']",No,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zqy,11:15:21.847,+31:31:24.92,2023-12-06 14:33:30.240,2023-12-13,18.744,ABMag,orange - ATLAS,0.1560843283619411,0.0872191407914882,DG_GALAXY_STARBURST,14.04094097969988,115259.74044798306,"['SDSS_53460_PLATEID_2092_FIBERID_577' '168.841064453125'
 '31.523557662963867' 'DG_GALAXY_STARBURST' '115259.74044798306'
 '0.15608432836194117' '0.08721914079148829']",Yes,J. Tonry
2024mq,10:18:37.740,+12:10:45.05,2024-01-04 08:16:47.000,2024-01-07,17.11,ABMag,G - Gaia,0.1993419332274861,0.1507048743795334,DG_GALAXY_STARBURST,11.21936350346005,155938.64880748244,"['SDSS_53062_PLATEID_1746_FIBERID_292' '154.65728759765625'
 '12.179139137268066' 'DG_GALAXY_STARBURST' '155938.64880748244'
 '0.19934193322748614' '0.15070487437953342']",Yes,S.T. Hodgkin
2023aabs,12:03:34.499,+29:54:32.10,2023-12-13 11:38:22.998,2023-12-15,19.3909,ABMag,g - ZTF,0.2019783075897546,0.1885894977851542,DG_GALAXY_STARBURST,13.01331248007594,192591.85150418893,"['SDSS_53818_PLATEID_2228_FIBERID_279' '180.89378356933597'
 '29.90896224975586' 'DG_GALAXY_STARBURST' '192591.85150418893'
 '0.2019783075897546' '0.18858949778515424']",Yes,A. Munoz-Arancibia
2024dsl,11:04:58.622,+29:08:16.06,2024-03-02 12:56:33.792,2024-03-04,19.99,ABMag,w - P1,4.236694776667469,0.1901256411842344,DG_GALAXY_STARBURST,13.594796541557171,9256.326124345434,"['SDSS_53792_PLATEID_2213_FIBERID_359' '166.242919921875'
 '29.13792991638184' 'DG_GALAXY_STARBURST' '9256.326124345434'
 '4.236694776667469' '0.19012564118423447']",Yes,K. C. Chambers
2023wtm,03:17:51.824,-00:06:17.92,2023-11-05 07:31:12.999,2023-11-06,18.673,ABMag,g - ZTF,0.4152361705482906,0.2006024499902421,DG_QSO_STARBURST,12.161318835871487,99647.4498472444,"['SDSS_51821_PLATEID_413_FIBERID_191' '49.4658203125'
 '-0.1050008088350296' 'DG_QSO_STARBURST' '99647.4498472444'
 '0.41523617054829065' '0.20060244999024215']",Yes,F. Forster
2023zgc,10:23:44.586,+54:00:31.68,2023-12-09 07:46:33.600,2023-12-10,19.09,ABMag,r - ZTF,0.2282481102301276,0.2302936969902794,DG_GALAXY_STARFORMING,12.278589741351244,208113.37603303668,"['SDSS_52381_PLATEID_904_FIBERID_597' '155.93569946289062'
 '54.00875473022461' 'DG_GALAXY_STARFORMING' '208113.37603303668'
 '0.22824811023012764' '0.23029369699027943']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2024chz,08:40:15.534,+23:22:29.69,2024-02-12 06:12:57.600,2024-02-13,18.9,ABMag,g - ZTF,0.5134313470578178,0.2614134101454042,DG_QSO_STARBURST,11.813360687396964,105019.66173424572,"['SDSS_53358_PLATEID_1931_FIBERID_285' '130.06488037109375'
 '23.374914169311523' 'DG_QSO_STARBURST' '105019.66173424572'
 '0.5134313470578178' '0.26141341014540426']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2018mls,11:15:21.894,+31:31:24.90,2018-11-07 12:36:00.000,2023-12-21,19.43,ABMag,r - ZTF,0.501267367208232,0.2801056936909325,DG_GALAXY_STARBURST,12.193390316049566,115259.74044798306,"['SDSS_53460_PLATEID_2092_FIBERID_577' '168.841064453125'
 '31.523557662963867' 'DG_GALAXY_STARBURST' '115259.74044798306'
 '0.501267367208232' '0.2801056936909325']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023uxg,16:58:29.430,+26:06:35.24,2023-10-14 05:06:01.728,2023-10-15,17.534,ABMag,cyan - ATLAS,0.7498362258643831,0.3306108623260254,DG_GALAXY_STARFORMING,9.937414408227635,90944.37306078173,"['SDSS_53446_PLATEID_1693_FIBERID_417' '254.62240600585935'
 '26.10972023010254' 'DG_GALAXY_STARFORMING' '90944.37306078173'
 '0.7498362258643831' '0.3306108623260254']",Yes,J. Tonry
2021aiaw,23:40:52.417,+14:39:28.01,2021-07-21 10:26:24.000,2023-12-21,19.11,ABMag,r - ZTF,0.2835722758373597,0.396190011411527,DG_QSO_STARBURST,11.12048238961506,288180.6963259768,"['SDSS_52233_PLATEID_748_FIBERID_261' '355.21832275390625'
 '14.657781600952148' 'DG_QSO_STARBURST' '288180.6963259768'
 '0.2835722758373597' '0.39619001141152704']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wpm,10:55:09.000,+21:46:19.88,2023-11-04 11:42:05.003,2023-11-05,18.9779,ABMag,g - ZTF,1.0767506606700536,0.5376985496713357,DG_GALAXY_STARFORMING,10.325205674696283,103002.75748123931,"['SDSS_54144_PLATEID_2484_FIBERID_540' '163.78756713867188'
 '21.771896362304688' 'DG_GALAXY_STARFORMING' '103002.75748123931'
 '1.0767506606700536' '0.5376985496713357']",Yes,F. Forster
2024ceo,15:10:46.313,+09:27:51.76,2024-02-11 10:16:19.200,2024-02-12,19.35,ABMag,g - ZTF,0.7945802141203515,0.5714208471601762,DG_GALAXY_STARFORMING,10.565219596442343,148334.94243651055,"['SDSS_53876_PLATEID_1719_FIBERID_439' '227.6929168701172'
 '9.464591979980469' 'DG_GALAXY_STARFORMING' '148334.94243651055'
 '0.7945802141203515' '0.5714208471601762']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zkf,15:00:17.004,+14:56:12.00,2023-12-09 13:04:48.000,2023-12-11,17.58,ABMag,r - ZTF,0.8724934397468488,0.5993298732460213,DG_GALAXY_STARFORMING,8.69167037305134,141686.63574156986,"['SDSS_54535_PLATEID_2765_FIBERID_309' '225.07061767578125'
 '14.936758041381836' 'DG_GALAXY_STARFORMING' '141686.63574156986'
 '0.8724934397468488' '0.5993298732460213']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2024byl,13:55:15.030,+21:05:04.93,2024-02-07 13:12:52.704,2024-02-09,20.02,ABMag,w - P1,1.4570120776208944,0.8211273715027319,DG_GALAXY_,10.44794735416979,116244.52589890988,"['SDSS_54510_PLATEID_2770_FIBERID_439' '208.81239318847656'
 '21.085044860839844' 'DG_GALAXY_' '116244.52589890988'
 '1.4570120776208944' '0.8211273715027319']",Yes,K. C. Chambers
2018mfz,21:33:41.551,+00:26:09.16,2018-09-08 06:38:15.648,2023-10-14,19.1512,ABMag,g - ZTF,0.641081877654355,0.8660262520577966,DG_QSO_STARBURST,9.463544714560868,278639.5050240174,"['SDSS_52520_PLATEID_988_FIBERID_580' '323.4229736328125'
 '0.4357910454273224' 'DG_QSO_STARBURST' '278639.5050240174'
 '0.641081877654355' '0.8660262520577966']",Yes,Patrick Aleo (UIUC)
2023zqo,12:46:26.582,+30:27:31.43,2023-12-08 15:13:16.608,2023-12-13,19.167,ABMag,orange - ATLAS,2.7528411748372266,0.892524557718774,DG_GALAXY_,9.413899127423257,66875.05499903187,"['SDSS_53828_PLATEID_2237_FIBERID_581' '191.6114501953125'
 '30.458251953125' 'DG_GALAXY_' '66875.05499903187' '2.7528411748372266'
 '0.892524557718774']",Yes,J. Tonry
2024dtt,09:36:32.054,+59:24:19.26,2024-02-29 11:59:29.760,2024-03-05,19.14,ABMag,g - ZTF,1.1549951377445145,0.9868879082641197,DG_QSO_STARBURST,9.168660860698749,176243.37673121717,"['SDSS_51911_PLATEID_452_FIBERID_523' '144.13302612304688'
 '59.40517807006836' 'DG_QSO_STARBURST' '176243.37673121717'
 '1.1549951377445145' '0.9868879082641197']",Yes,J. Nordin
2024bko,08:25:02.363,+38:51:03.23,2024-02-01 10:03:00.000,2024-02-04,19.174,ABMag,orange - ATLAS,1.6244585252193982,1.0034611912262963,DG_GALAXY_STARBURST,9.166497095763823,127413.98131881992,"['SDSS_52615_PLATEID_894_FIBERID_127' '126.25926971435548'
 '38.85084915161133' 'DG_GALAXY_STARBURST' '127413.98131881992'
 '1.6244585252193982' '1.0034611912262965']",Yes,J. Tonry
2023abdi,12:02:02.853,+33:37:10.79,2023-12-17 13:14:04.416,2023-12-25,18.672,ABMag,orange - ATLAS,2.1251650850616923,1.0734042818701248,DG_QSO_STARFORMING,8.51818338310192,104182.74221724807,"['SDSS_53498_PLATEID_2089_FIBERID_320' '180.5118103027344'
 '33.6202507019043' 'DG_QSO_STARFORMING' '104182.74221724807'
 '2.1251650850616923' '1.0734042818701248']",Yes,J. Tonry
2024V,11:52:01.487,+57:41:37.27,2024-01-01 14:18:55.872,2024-01-03,20.07,ABMag,i - P1,1.6905972284652315,1.0837549264922577,DG_GALAXY_STARBURST,9.895344576558877,132225.75795719004,"['SDSS_52781_PLATEID_1312_FIBERID_467' '178.00645446777344'
 '57.6932373046875' 'DG_GALAXY_STARBURST' '132225.75795719004'
 '1.6905972284652317' '1.0837549264922575']",Yes,K. C. Chambers
2023acds,12:45:06.003,+37:04:28.30,2023-12-30 13:05:46.752,2024-01-01,19.55,ABMag,i - P1,0.8264471315189109,1.0843198587177758,DG_GALAXY_STARBURST,9.374212941453768,270624.72242275305,"['SDSS_53827_PLATEID_2022_FIBERID_529' '191.2751922607422'
 '37.07470703125' 'DG_GALAXY_STARBURST' '270624.72242275305'
 '0.8264471315189109' '1.0843198587177758']",Yes,K. C. Chambers
2023acds,12:45:06.003,+37:04:28.30,2023-12-30 13:05:46.752,2023-12-31,19.55,ABMag,i - P1,0.8264471315189109,1.0843198587177758,DG_GALAXY_STARBURST,9.374212941453768,270624.72242275305,"['SDSS_53827_PLATEID_2022_FIBERID_529' '191.2751922607422'
 '37.07470703125' 'DG_GALAXY_STARBURST' '270624.72242275305'
 '0.8264471315189109' '1.0843198587177758']",Yes,K. C. Chambers
2023zxy,12:26:11.239,+53:26:03.09,2023-12-09 10:22:04.800,2023-12-14,19.4,ABMag,g - ZTF,1.235160527656347,1.3178061795640237,DG_QSO_STARBURST,8.800742301273328,220066.16161267212,"['SDSS_52374_PLATEID_884_FIBERID_404' '186.5465087890625'
 '53.43390655517578' 'DG_QSO_STARBURST' '220066.16161267215'
 '1.235160527656347' '1.3178061795640235']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wgr,17:08:38.668,+32:33:52.46,2023-11-02 03:28:46.998,2023-11-03,18.4334,ABMag,g - ZTF,2.7375341315218327,1.3441678531510275,DG_GALAXY_STARFORMING,7.791132476554134,101278.92785182282,"['SDSS_52426_PLATEID_973_FIBERID_25' '257.160400390625'
 '32.564109802246094' 'DG_GALAXY_STARFORMING' '101278.92785182282'
 '2.7375341315218327' '1.3441678531510277']",Yes,A. Munoz-Arancibia
2023zdx,14:27:36.682,+41:15:35.10,2023-12-08 15:15:07.200,2023-12-10,17.049,ABMag,orange - ATLAS,7.212961065708515,1.3460457238163197,DG_GALAXY_STARFORMING,6.40370093657862,38492.07806711667,"['SDSS_53084_PLATEID_1348_FIBERID_584' '216.9025421142578'
 '41.25775909423828' 'DG_GALAXY_STARFORMING' '38492.07806711667'
 '7.212961065708515' '1.3460457238163195']",Yes,J. Tonry
2024J,08:27:25.620,+03:28:50.03,2024-01-01 13:49:08.256,2024-01-02,18.791,ABMag,orange - ATLAS,1.9877733696395945,1.3875895081702327,DG_GALAXY_STARFORMING,8.079694963006187,143985.67031198842,"['SDSS_52642_PLATEID_1185_FIBERID_53' '126.85719299316406'
 '3.480233192443848' 'DG_GALAXY_STARFORMING' '143985.67031198842'
 '1.9877733696395943' '1.3875895081702327']",Yes,J. Tonry
2023aakj,13:00:29.167,+28:27:19.21,2023-12-17 13:57:18.144,2023-12-19,19.127,ABMag,orange - ATLAS,2.806463279132887,1.4118580333907076,DG_GALAXY_,8.378044853583752,103766.41158142863,"['SDSS_53499_PLATEID_2011_FIBERID_110' '195.1223297119141'
 '28.455671310424805' 'DG_GALAXY_' '103766.41158142863'
 '2.806463279132887' '1.4118580333907076']",Yes,J. Tonry
2024of,13:12:04.174,+33:45:04.93,2024-01-02 10:13:26.400,2024-01-07,19.91,ABMag,g - ZTF,0.6592989425341876,1.4205816694983788,DG_QSO_STARBURST,9.147668967773098,444435.7239337696,"['SDSS_53818_PLATEID_2093_FIBERID_434' '198.01730346679688'
 '33.75120162963867' 'DG_QSO_STARBURST' '444435.7239337696'
 '0.6592989425341876' '1.4205816694983788']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfu,11:23:16.746,+33:56:46.94,2023-12-09 10:42:14.400,2023-12-10,19.01,ABMag,r - ZTF,2.026715569467378,1.468215476371684,DG_GALAXY_STARFORMING,8.176051011841167,149424.6086248057,"['SDSS_53713_PLATEID_2100_FIBERID_465' '170.81954956054688'
 '33.946903228759766' 'DG_GALAXY_STARFORMING' '149424.6086248057'
 '2.026715569467378' '1.4682154763716841']",Yes,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2024cso,08:00:04.852,+10:21:15.22,2024-01-15 09:07:09.408,2024-02-16,20.5306,ABMag,g - ZTF,1.624829001639955,1.5948277990579731,DG_GALAXY_STARFORMING,9.5170310143075,202456.2871739668,"['SDSS_53794_PLATEID_2418_FIBERID_184' '120.0206069946289'
 '10.35399055480957' 'DG_GALAXY_STARFORMING' '202456.2871739668'
 '1.624829001639955' '1.5948277990579731']",Yes,K. De (Caltech) on behalf of ZTF
2023ynh,16:12:59.710,+30:50:24.32,2023-11-07 19:03:21.600,2023-11-28,18.21,ABMag,G - Gaia,3.570069290102841,1.6778543337504677,DG_GALAXY_STARFORMING,7.086228730034812,96939.93895858664,"['SDSS_53146_PLATEID_1420_FIBERID_310' '243.2496795654297'
 '30.839454650878903' 'DG_GALAXY_STARFORMING' '96939.93895858664'
 '3.5700692901028415' '1.6778543337504677']",Yes,S.T. Hodgkin
2024anc,10:58:16.001,+23:41:37.41,2024-01-18 11:19:13.152,2024-01-20,18.779,ABMag,orange - ATLAS,3.990825767241446,1.769763737579101,DG_GALAXY_STARFORMING,7.539423539135573,91469.78488392576,"['SDSS_53876_PLATEID_2486_FIBERID_413' '164.56736755371094'
 '23.69463157653809' 'DG_GALAXY_STARFORMING' '91469.78488392576'
 '3.990825767241446' '1.7697637375791013']",Yes,J. Tonry
